time,wx,wy,wz
2.669,0.18,0.04,-0.99
2.678,0.17,0.08,-1
2.68,0.17,0.11,-1.01
2.684,0.16,0.15,-1.02
2.689,0.14,0.19,-1.04
2.694,0.13,0.22,-1.04
2.699,0.12,0.25,-1.04
2.705,0.13,0.28,-1.05
2.71,0.14,0.29,-1.06
2.715,0.15,0.31,-1.06
2.72,0.17,0.33,-1.07
2.724,0.17,0.33,-1.07
2.73,0.17,0.35,-1.06
2.735,0.15,0.38,-1.06
2.74,0.15,0.41,-1.07
2.745,0.13,0.44,-1.07
2.75,0.12,0.48,-1.08
2.755,0.11,0.51,-1.08
2.76,0.11,0.54,-1.07
2.765,0.11,0.57,-1.07
2.77,0.12,0.59,-1.08
2.78,0.12,0.61,-1.08
2.782,0.11,0.63,-1.08
2.786,0.1,0.66,-1.08
2.805,0.09,0.66,-1.08
2.806,0.09,0.67,-1.07
2.806,0.09,0.69,-1.07
2.807,0.07,0.72,-1.07
2.81,0.06,0.74,-1.06
2.815,0.05,0.77,-1.05
2.821,0.05,0.8,-1.05
2.825,0.04,0.83,-1.05
2.83,0.03,0.85,-1.05
2.836,0.02,0.87,-1.04
2.84,0.01,0.89,-1.02
2.845,0.01,0.9,-1.01
2.85,-0.01,0.92,-1.01
2.855,-0.02,0.92,-1
2.861,-0.02,0.94,-1
2.865,-0.02,0.98,-0.99
2.87,-0.03,1.01,-0.98
2.875,-0.04,1.02,-0.98
2.881,-0.05,1.03,-0.97
2.894,-0.06,1.05,-0.96
2.895,-0.08,1.09,-0.94
2.897,-0.1,1.12,-0.94
2.9,-0.12,1.13,-0.91
2.917,-0.13,1.15,-0.9
2.918,-0.15,1.17,-0.89
2.919,-0.16,1.23,-0.88
2.921,-0.14,1.23,-0.86
2.925,-0.1,1.28,-0.86
2.931,-0.1,1.27,-0.83
2.936,-0.05,1.26,-0.83
2.941,-0.03,1.23,-0.83
2.946,-0.08,1.21,-0.82
2.951,-0.15,1.23,-0.81
2.956,-0.24,1.22,-0.77
2.962,-0.31,1.2,-0.73
2.968,-0.35,1.2,-0.72
2.971,-0.34,1.24,-0.72
2.976,-0.3,1.3,-0.69
2.981,-0.26,1.37,-0.67
2.987,-0.23,1.38,-0.64
2.991,-0.21,1.38,-0.64
2.996,-0.21,1.35,-0.61
3.001,-0.25,1.39,-0.61
3.006,-0.28,1.43,-0.6
3.012,-0.32,1.46,-0.57
3.023,-0.35,1.42,-0.55
3.024,-0.38,1.36,-0.54
3.028,-0.38,1.36,-0.49
3.048,-0.37,1.39,-0.45
3.049,-0.36,1.4,-0.44
3.05,-0.35,1.37,-0.41
3.05,-0.37,1.36,-0.39
3.052,-0.39,1.4,-0.38
3.057,-0.41,1.4,-0.38
3.063,-0.41,1.44,-0.35
3.068,-0.43,1.47,-0.31
3.072,-0.44,1.46,-0.3
3.077,-0.43,1.47,-0.27
3.082,-0.42,1.48,-0.23
3.087,-0.41,1.48,-0.22
3.092,-0.39,1.47,-0.19
3.097,-0.41,1.46,-0.17
3.102,-0.43,1.46,-0.15
3.107,-0.46,1.44,-0.12
3.113,-0.47,1.45,-0.06
3.117,-0.48,1.45,-0.03
3.122,-0.48,1.45,-0.03
3.129,-0.48,1.43,-0.01
3.133,-0.47,1.43,0.01
3.138,-0.46,1.43,0.02
3.144,-0.44,1.44,0.06
3.148,-0.44,1.44,0.1
3.153,-0.46,1.42,0.12
3.158,-0.46,1.42,0.15
3.169,-0.47,1.42,0.17
3.17,-0.47,1.42,0.19
3.172,-0.47,1.42,0.22
3.196,-0.46,1.4,0.25
3.197,-0.45,1.38,0.27
3.197,-0.43,1.38,0.3
3.198,-0.43,1.39,0.3
3.198,-0.43,1.39,0.33
3.203,-0.43,1.37,0.35
3.208,-0.43,1.36,0.37
3.213,-0.43,1.36,0.4
3.218,-0.41,1.38,0.37
3.223,-0.4,1.32,0.41
3.228,-0.41,1.29,0.5
3.233,-0.44,1.32,0.52
3.238,-0.45,1.31,0.51
3.243,-0.46,1.27,0.51
3.248,-0.45,1.26,0.53
3.253,-0.44,1.26,0.55
3.259,-0.42,1.26,0.55
3.264,-0.42,1.26,0.6
3.269,-0.4,1.23,0.64
3.275,-0.39,1.21,0.65
3.279,-0.39,1.18,0.66
3.284,-0.39,1.19,0.67
3.289,-0.41,1.19,0.69
3.294,-0.41,1.16,0.71
3.298,-0.39,1.13,0.74
3.303,-0.39,1.12,0.76
3.315,-0.39,1.1,0.77
3.316,-0.36,1.1,0.77
3.319,-0.35,1.1,0.78
3.342,-0.35,1.1,0.78
3.343,-0.35,1.08,0.8
3.343,-0.33,1.06,0.82
3.344,-0.34,1.04,0.84
3.344,-0.35,1.03,0.86
3.348,-0.36,1.01,0.89
3.355,-0.35,1,0.9
3.36,-0.35,0.98,0.92
3.364,-0.33,0.95,0.93
3.369,-0.3,0.93,0.93
3.374,-0.26,0.93,0.95
3.379,-0.24,0.9,0.96
3.384,-0.23,0.83,0.96
3.389,-0.21,0.83,0.96
3.394,-0.21,0.73,0.94
3.399,-0.19,0.74,0.96
3.415,-0.19,0.75,0.99
3.416,-0.18,0.67,0.99
3.417,-0.19,0.56,0.99
3.436,-0.22,0.51,0.99
3.437,-0.27,0.53,1
3.438,-0.3,0.58,1.01
3.438,-0.33,0.54,0.99
3.44,-0.34,0.43,0.99
3.445,-0.32,0.38,1.03
3.449,-0.27,0.45,1.05
3.455,-0.2,0.45,1.05
3.46,-0.2,0.5,1.05
3.465,-0.14,0.46,1.03
3.47,-0.1,0.4,1.01
3.475,-0.09,0.37,1.02
3.48,-0.11,0.39,1.04
3.485,-0.15,0.38,1.04
3.491,-0.19,0.32,1.04
3.495,-0.23,0.24,1.03
3.502,-0.25,0.2,1.02
3.505,-0.24,0.21,1.02
3.51,-0.2,0.21,1.03
3.516,-0.15,0.15,1.02
3.521,-0.12,0.15,1.02
3.525,-0.11,0.09,1.02
3.53,-0.11,0.06,1.02
3.539,-0.11,0.04,1.01
3.54,-0.13,0.04,1
3.545,-0.15,-0.01,0.99
3.566,-0.17,-0.05,0.99
3.567,-0.2,-0.06,0.99
3.567,-0.21,-0.05,0.98
3.567,-0.19,-0.07,0.97
3.572,-0.19,-0.1,0.95
3.578,-0.18,-0.17,0.94
3.58,-0.17,-0.2,0.94
3.585,-0.15,-0.22,0.94
3.59,-0.15,-0.22,0.94
3.595,-0.15,-0.25,0.93
3.601,-0.14,-0.3,0.91
3.605,-0.15,-0.34,0.9
3.61,-0.16,-0.36,0.88
3.616,-0.17,-0.38,0.88
3.62,-0.17,-0.39,0.87
3.626,-0.18,-0.41,0.85
3.632,-0.19,-0.43,0.84
3.636,-0.18,-0.44,0.82
3.641,-0.19,-0.46,0.81
3.647,-0.18,-0.48,0.8
3.651,-0.19,-0.53,0.78
3.656,-0.19,-0.53,0.78
3.662,-0.19,-0.57,0.76
3.666,-0.2,-0.6,0.75
3.671,-0.19,-0.63,0.73
3.676,-0.19,-0.66,0.72
3.692,-0.19,-0.7,0.71
3.693,-0.19,-0.72,0.69
3.694,-0.18,-0.72,0.67
3.714,-0.19,-0.74,0.65
3.715,-0.2,-0.77,0.63
3.716,-0.19,-0.79,0.61
3.716,-0.2,-0.81,0.58
3.717,-0.21,-0.82,0.56
3.721,-0.22,-0.82,0.56
3.728,-0.22,-0.85,0.54
3.731,-0.23,-0.88,0.52
3.736,-0.24,-0.9,0.5
3.741,-0.24,-0.92,0.49
3.746,-0.24,-0.93,0.46
3.752,-0.23,-0.95,0.44
3.757,-0.23,-0.99,0.41
3.761,-0.24,-1.01,0.39
3.767,-0.24,-1.04,0.38
3.771,-0.24,-1.05,0.34
3.776,-0.24,-1.07,0.32
3.782,-0.24,-1.09,0.3
3.787,-0.23,-1.09,0.27
3.794,-0.23,-1.12,0.27
3.797,-0.23,-1.15,0.25
3.802,-0.24,-1.18,0.23
3.807,-0.24,-1.21,0.2
3.812,-0.25,-1.23,0.17
3.817,-0.27,-1.26,0.15
3.822,-0.27,-1.28,0.13
3.832,-0.25,-1.29,0.1
3.833,-0.23,-1.29,0.07
3.859,-0.22,-1.3,0.03
3.859,-0.21,-1.3,0
3.86,-0.21,-1.3,-0.01
3.86,-0.22,-1.3,-0.03
3.861,-0.23,-1.32,-0.03
3.862,-0.23,-1.34,-0.05
3.868,-0.24,-1.32,-0.09
3.874,-0.25,-1.32,-0.13
3.878,-0.25,-1.32,-0.18
3.882,-0.24,-1.31,-0.21
3.887,-0.24,-1.31,-0.23
3.893,-0.24,-1.32,-0.25
3.898,-0.25,-1.33,-0.27
3.903,-0.25,-1.35,-0.29
3.908,-0.25,-1.36,-0.33
3.913,-0.25,-1.37,-0.36
3.918,-0.23,-1.38,-0.38
3.923,-0.22,-1.38,-0.38
3.928,-0.22,-1.4,-0.4
3.933,-0.2,-1.42,-0.42
3.938,-0.17,-1.42,-0.44
3.943,-0.16,-1.42,-0.47
3.948,-0.14,-1.41,-0.5
3.954,-0.14,-1.41,-0.53
3.958,-0.15,-1.41,-0.55
3.963,-0.16,-1.42,-0.57
3.969,-0.16,-1.42,-0.6
3.973,-0.16,-1.43,-0.63
3.978,-0.15,-1.43,-0.64
3.984,-0.13,-1.42,-0.67
3.995,-0.1,-1.42,-0.67
3.996,-0.1,-1.43,-0.69
4.009,-0.09,-1.43,-0.71
4.009,-0.07,-1.44,-0.72
4.01,-0.07,-1.43,-0.74
4.02,-0.06,-1.43,-0.76
4.021,-0.06,-1.43,-0.79
4.024,-0.06,-1.43,-0.81
4.029,-0.05,-1.42,-0.83
4.035,-0.03,-1.42,-0.84
4.039,-0.01,-1.43,-0.86
4.043,0.01,-1.42,-0.89
4.049,0.03,-1.41,-0.9
4.054,0.05,-1.41,-0.9
4.059,0.05,-1.4,-0.91
4.064,0.05,-1.39,-0.92
4.069,0.05,-1.38,-0.94
4.074,0.04,-1.35,-0.95
4.079,0.04,-1.34,-0.97
4.085,0.03,-1.31,-0.99
4.089,0.02,-1.28,-1
4.095,0.03,-1.26,-1.01
4.107,0.05,-1.24,-1.03
4.108,0.06,-1.23,-1.05
4.11,0.08,-1.23,-1.05
4.115,0.09,-1.24,-1.06
4.128,0.1,-1.24,-1.06
4.129,0.11,-1.24,-1.06
4.129,0.11,-1.23,-1.08
4.136,0.13,-1.23,-1.08
4.139,0.14,-1.21,-1.09
4.145,0.15,-1.19,-1.1
4.149,0.16,-1.16,-1.1
4.155,0.16,-1.14,-1.1
4.16,0.17,-1.12,-1.11
4.165,0.17,-1.1,-1.12
4.17,0.18,-1.09,-1.12
4.175,0.18,-1.05,-1.12
4.181,0.18,-1.03,-1.13
4.185,0.19,-1.03,-1.13
4.19,0.21,-1.03,-1.13
4.195,0.21,-1.02,-1.14
4.2,0.21,-1.01,-1.14
4.205,0.23,-0.99,-1.13
4.21,0.23,-0.97,-1.13
4.215,0.23,-0.94,-1.14
4.221,0.23,-0.93,-1.14
4.225,0.24,-0.91,-1.13
4.23,0.23,-0.89,-1.13
4.235,0.24,-0.88,-1.13
4.24,0.24,-0.86,-1.12
4.256,0.24,-0.83,-1.12
4.257,0.25,-0.81,-1.12
4.258,0.24,-0.81,-1.12
4.261,0.24,-0.8,-1.12
4.282,0.24,-0.79,-1.11
4.283,0.24,-0.76,-1.11
4.283,0.23,-0.75,-1.09
4.283,0.22,-0.73,-1.09
4.285,0.21,-0.73,-1.09
4.29,0.18,-0.72,-1.1
4.295,0.17,-0.69,-1.09
4.3,0.2,-0.62,-1.07
4.305,0.24,-0.58,-1.05
4.311,0.28,-0.55,-1.04
4.316,0.3,-0.52,-1.03
4.321,0.3,-0.52,-1.03
4.326,0.3,-0.48,-1.02
4.331,0.27,-0.42,-1.02
4.336,0.23,-0.39,-1.01
4.341,0.2,-0.4,-1
4.346,0.17,-0.41,-0.99
