time,wx,wy,wz
3.009,-0.18,0.94,0.96
3.013,-0.15,0.93,0.97
3.019,-0.15,0.83,0.95
3.023,-0.14,0.74,0.95
3.029,-0.13,0.77,0.98
3.035,-0.12,0.77,0.98
3.039,-0.12,0.75,1.00
3.043,-0.11,0.67,1.02
3.051,-0.11,0.62,1.01
3.062,-0.13,0.54,1.00
3.063,-0.17,0.52,1.01
3.063,-0.22,0.54,1.04
3.072,-0.28,0.53,1.04
3.074,-0.32,0.48,1.03
3.079,-0.31,0.42,1.04
3.086,-0.26,0.43,1.05
3.090,-0.15,0.49,1.05
3.094,-0.05,0.48,1.05
3.102,0.02,0.48,1.05
3.104,0.02,0.43,1.04
3.110,0.04,0.39,1.04
3.116,-0.01,0.39,1.05
3.119,-0.07,0.39,1.06
3.124,-0.13,0.35,1.06
3.131,-0.17,0.27,1.05
3.136,-0.18,0.23,1.05
3.139,-0.17,0.24,1.05
3.144,-0.15,0.22,1.05
3.151,-0.11,0.16,1.04
3.155,-0.08,0.09,1.04
3.159,-0.06,0.06,1.05
3.171,-0.05,0.06,1.04
3.172,-0.05,0.06,1.04
3.176,-0.05,0.06,1.03
3.180,-0.07,0.01,1.02
3.189,-0.12,-0.07,1.01
3.190,-0.16,-0.10,1.01
3.195,-0.18,-0.08,1.02
3.200,-0.17,-0.06,1.01
3.205,-0.15,-0.08,1.00
3.212,-0.13,-0.15,0.98
3.215,-0.10,-0.18,0.98
3.220,-0.08,-0.18,0.97
3.225,-0.08,-0.19,0.97
3.232,-0.09,-0.25,0.95
3.237,-0.10,-0.25,0.95
3.240,-0.10,-0.32,0.94
3.246,-0.12,-0.35,0.93
3.251,-0.14,-0.36,0.92
3.255,-0.15,-0.37,0.91
3.261,-0.16,-0.41,0.90
3.265,-0.17,-0.46,0.89
3.271,-0.16,-0.48,0.87
3.275,-0.14,-0.46,0.85
3.281,-0.13,-0.47,0.83
3.285,-0.12,-0.50,0.82
3.291,-0.14,-0.55,0.80
3.295,-0.15,-0.58,0.79
3.300,-0.16,-0.58,0.79
3.305,-0.16,-0.59,0.78
3.316,-0.17,-0.61,0.77
3.317,-0.19,-0.67,0.75
3.321,-0.21,-0.72,0.72
3.332,-0.22,-0.74,0.71
3.333,-0.21,-0.75,0.69
3.336,-0.19,-0.75,0.68
3.342,-0.17,-0.78,0.66
3.345,-0.16,-0.81,0.64
3.351,-0.16,-0.83,0.61
3.356,-0.18,-0.84,0.59
3.361,-0.21,-0.87,0.57
3.366,-0.23,-0.87,0.55
3.372,-0.23,-0.88,0.55
3.377,-0.25,-0.92,0.53
3.381,-0.26,-0.95,0.51
3.386,-0.25,-0.96,0.50
3.393,-0.23,-0.97,0.47
3.396,-0.22,-1.00,0.44
3.401,-0.22,-1.04,0.42
3.407,-0.22,-1.06,0.40
3.412,-0.23,-1.08,0.37
3.416,-0.26,-1.10,0.34
3.421,-0.27,-1.13,0.32
3.426,-0.28,-1.16,0.31
3.432,-0.28,-1.16,0.28
3.436,-0.27,-1.19,0.28
3.442,-0.27,-1.21,0.25
3.446,-0.27,-1.24,0.23
3.452,-0.26,-1.26,0.21
3.463,-0.26,-1.27,0.18
3.464,-0.25,-1.28,0.14
3.466,-0.26,-1.28,0.11
3.477,-0.26,-1.27,0.08
3.478,-0.26,-1.28,0.06
3.481,-0.28,-1.30,0.03
3.487,-0.28,-1.30,0.02
3.493,-0.29,-1.29,-0.01
3.497,-0.29,-1.29,-0.04
3.502,-0.28,-1.29,-0.04
3.507,-0.28,-1.30,-0.08
3.513,-0.29,-1.30,-0.12
3.517,-0.31,-1.31,-0.15
3.522,-0.30,-1.32,-0.17
3.527,-0.31,-1.33,-0.20
3.533,-0.31,-1.35,-0.23
3.539,-0.30,-1.38,-0.26
3.542,-0.29,-1.38,-0.28
3.547,-0.27,-1.39,-0.32
3.555,-0.26,-1.40,-0.34
3.557,-0.24,-1.41,-0.36
3.562,-0.23,-1.41,-0.38
3.568,-0.23,-1.41,-0.38
3.573,-0.23,-1.42,-0.41
3.577,-0.23,-1.42,-0.44
3.582,-0.23,-1.42,-0.47
3.590,-0.23,-1.43,-0.49
3.594,-0.23,-1.43,-0.51
3.597,-0.22,-1.43,-0.54
3.604,-0.21,-1.44,-0.56
3.608,-0.21,-1.44,-0.58
3.613,-0.19,-1.45,-0.61
3.618,-0.18,-1.45,-0.64
3.623,-0.18,-1.45,-0.66
3.628,-0.17,-1.45,-0.68
3.634,-0.16,-1.45,-0.68
3.638,-0.16,-1.44,-0.70
3.643,-0.16,-1.45,-0.73
3.648,-0.15,-1.45,-0.75
3.653,-0.14,-1.45,-0.76
3.658,-0.12,-1.45,-0.78
3.663,-0.11,-1.44,-0.81
3.670,-0.09,-1.44,-0.82
3.674,-0.09,-1.44,-0.84
3.678,-0.08,-1.42,-0.85
3.684,-0.07,-1.41,-0.88
3.688,-0.07,-1.41,-0.90
3.694,-0.05,-1.41,-0.92
3.703,-0.05,-1.41,-0.92
3.705,-0.05,-1.38,-0.92
3.708,-0.05,-1.36,-0.94
3.723,-0.05,-1.34,-0.96
3.724,-0.05,-1.33,-0.98
3.724,-0.05,-1.30,-0.99
3.728,-0.06,-1.29,-1.00
3.734,-0.05,-1.27,-1.02
3.738,-0.03,-1.26,-1.03
3.744,-0.02,-1.26,-1.05
3.748,-0.01,-1.27,-1.06
3.754,0.01,-1.26,-1.07
3.759,0.03,-1.24,-1.07
3.765,0.05,-1.24,-1.08
3.769,0.06,-1.24,-1.08
3.775,0.06,-1.23,-1.09
3.780,0.07,-1.20,-1.10
3.784,0.07,-1.17,-1.11
3.789,0.08,-1.15,-1.11
3.794,0.08,-1.15,-1.12
3.799,0.09,-1.13,-1.13
3.803,0.08,-1.11,-1.13
3.809,0.10,-1.09,-1.13
3.815,0.10,-1.06,-1.14
3.819,0.11,-1.06,-1.14
3.824,0.12,-1.04,-1.15
3.832,0.13,-1.02,-1.15
3.835,0.14,-1.02,-1.15
3.840,0.14,-1.01,-1.14
3.853,0.13,-0.99,-1.15
3.854,0.14,-0.96,-1.15
3.855,0.15,-0.94,-1.15
3.861,0.15,-0.93,-1.14
3.864,0.15,-0.91,-1.14
3.869,0.15,-0.89,-1.13
3.875,0.16,-0.87,-1.14
3.879,0.16,-0.86,-1.14
3.884,0.17,-0.83,-1.14
3.889,0.17,-0.82,-1.13
3.895,0.16,-0.79,-1.12
3.900,0.16,-0.79,-1.12
3.905,0.16,-0.78,-1.12
3.910,0.15,-0.77,-1.12
3.916,0.16,-0.75,-1.11
3.920,0.15,-0.74,-1.11
3.928,0.13,-0.73,-1.10
3.930,0.10,-0.73,-1.11
3.935,0.11,-0.67,-1.09
3.942,0.15,-0.59,-1.06
3.945,0.19,-0.57,-1.05
3.950,0.22,-0.55,-1.05
3.956,0.22,-0.51,-1.05
3.961,0.20,-0.45,-1.04
3.965,0.16,-0.45,-1.02
3.970,0.13,-0.39,-1.02
3.979,0.13,-0.38,-1.02
3.980,0.11,-0.41,-1.00
3.985,0.09,-0.41,-0.99
4.001,0.10,-0.38,-0.98
4.002,0.11,-0.33,-0.97
4.002,0.14,-0.30,-0.95
4.008,0.16,-0.31,-0.93
4.010,0.18,-0.32,-0.92
4.016,0.19,-0.29,-0.90
4.021,0.17,-0.24,-0.89
4.026,0.12,-0.17,-0.88
4.030,0.08,-0.17,-0.86
4.036,0.04,-0.15,-0.86
4.040,0.04,-0.13,-0.85
4.046,0.02,-0.10,-0.83
4.050,0.04,-0.05,-0.82
4.057,0.07,-0.02,-0.81
4.061,0.09,-0.02,-0.79
4.067,0.10,-0.02,-0.78
4.071,0.09,0.01,-0.75
4.076,0.07,0.04,-0.73
4.081,0.04,0.05,-0.72
4.088,-0.00,0.07,-0.69
4.091,-0.04,0.11,-0.68
4.097,-0.06,0.17,-0.66
4.101,-0.05,0.17,-0.66
4.106,-0.05,0.21,-0.63
4.111,-0.03,0.23,-0.62
4.117,-0.01,0.26,-0.60
4.128,-0.01,0.29,-0.57
4.128,-0.01,0.32,-0.56
4.133,-0.03,0.34,-0.54
4.145,-0.06,0.34,-0.52
4.146,-0.10,0.35,-0.49
4.147,-0.12,0.37,-0.46
4.154,-0.14,0.40,-0.44
4.157,-0.14,0.42,-0.43
4.162,-0.14,0.45,-0.40
4.168,-0.12,0.45,-0.40
4.172,-0.12,0.48,-0.37
4.178,-0.12,0.51,-0.36
4.182,-0.13,0.55,-0.34
4.186,-0.14,0.59,-0.31
4.192,-0.18,0.61,-0.29
4.201,-0.20,0.63,-0.26
4.202,-0.22,0.64,-0.24
4.207,-0.23,0.65,-0.22
4.212,-0.24,0.66,-0.19
4.219,-0.26,0.70,-0.15
4.222,-0.26,0.73,-0.12
4.227,-0.25,0.75,-0.10
4.235,-0.25,0.75,-0.10
4.238,-0.25,0.76,-0.08
