time;ax;ay;az;aT
1,571;0,3462;-2,2603;4,3639;4,927
1,575;0,2756;-2,1711;4,4164;4,929
1,585;0,399;-2,1195;4,3478;4,853
1,592;0,365;-2,0859;4,3764;4,862
1,601;0,427;-1,9915;4,3818;4,832
1,608;0,2705;-1,8955;4,5375;4,925
1,619;0,2494;-1,8381;4,5124;4,879
1,625;0,3059;-1,8192;4,8961;5,232
1,641;0,5169;-1,7387;4,8057;5,137
1,644;0,6466;-1,692;4,4371;4,793
1,651;0,7361;-1,6218;4,3226;4,675
1,659;0,9611;-1,5294;4,2243;4,594
1,669;0,9289;-1,4554;4,1787;4,521
1,676;0,9355;-1,3229;3,9345;4,255
1,684;0,923;-1,2872;4,0035;4,305
1,693;1,086;-1,1335;4,1078;4,397
1,701;1,0507;-1,0947;3,9311;4,214
1,709;1,0751;-1,0356;3,8721;4,15
1,718;1,2184;-0,9753;3,8341;4,14
1,726;1,1838;-0,8929;3,771;4,052
1,734;1,3051;-0,7904;3,7225;4,023
1,743;1,3681;-0,8052;3,8876;4,199
1,751;1,4505;-0,6811;3,7752;4,101
1,76;1,5518;-0,5929;3,6191;3,982
1,768;1,7124;-0,4845;3,4611;3,892
1,777;1,6775;-0,3943;3,3794;3,793
1,785;1,7803;-0,2833;3,0989;3,585
1,795;1,9229;-0,0934;2,9922;3,558
1,801;1,9685;-0,0215;3,0407;3,622
1,81;2,0737;0,0701;3,0471;3,687
1,818;2,1603;0,2009;2,9727;3,68
1,828;2,2478;0,2743;2,8367;3,63
1,835;2,2189;0,3674;2,7376;3,543
1,845;2,25;0,4803;2,5573;3,44
1,852;2,3411;0,6328;2,3547;3,38
1,861;2,4333;0,6869;2,4034;3,488
1,869;2,5465;0,8376;2,3319;3,553
1,878;2,6216;0,8896;2,2567;3,572
1,885;2,6006;0,9799;2,1403;3,508
1,897;2,7573;1,0705;1,9218;3,527
1,903;2,837;1,278;1,5037;3,456
1,911;2,8404;1,4056;1,1636;3,376
1,919;2,8659;1,492;1,0214;3,389
1,927;2,7956;1,5167;0,9395;3,316
1,936;2,8841;1,6568;0,9558;3,461
1,944;2,8767;1,7374;0,8362;3,463
1,952;2,9301;1,8156;0,6589;3,509
1,961;2,8283;1,832;0,5781;3,419
1,969;2,8261;1,9624;0,4366;3,468
1,977;2,9626;2,1498;0,4297;3,686
1,986;2,8263;2,1573;0,2251;3,563
1,994;2,8289;2,2201;0,097;3,597
2,003;2,7745;2,2807;-0,1673;3,595
2,011;2,7415;2,3785;-0,3916;3,651
2,019;2,9058;2,4533;-0,5572;3,844
2,028;2,7576;2,4646;-0,701;3,764
2,041;2,6698;2,453;-0,7675;3,706
2,045;2,6617;2,5754;-0,8714;3,805
2,054;2,6745;2,6165;-0,9953;3,872
2,062;2,6097;2,6913;-1,1974;3,935
2,071;2,5655;2,7424;-1,3794;4,001
2,078;2,4832;2,8291;-1,5796;4,082
2,088;2,3823;2,8534;-1,72;4,096
2,095;2,3017;2,8148;-1,7795;4,048
2,104;2,3198;2,8314;-1,8969;4,123
2,112;2,2992;2,8637;-2,0132;4,188
2,12;2,1813;2,8528;-2,2849;4,256
2,129;2,1814;2,897;-2,4367;4,369
2,137;2,1426;2,8987;-2,5272;4,402
2,145;2,0061;2,838;-2,6352;4,362
2,154;1,9091;2,8914;-2,7406;4,418
2,162;1,9297;2,8826;-2,8437;4,485
2,171;1,8517;2,849;-2,9825;4,521
2,179;1,7539;2,812;-3,1573;4,577
2,187;1,7147;2,7912;-3,3097;4,657
2,196;1,6361;2,7669;-3,3812;4,665
2,204;1,5576;2,7786;-3,4317;4,682
2,212;1,5762;2,7489;-3,5165;4,734
2,221;1,5359;2,6769;-3,58;4,727
2,23;1,4562;2,621;-3,622;4,702
2,238;1,3369;2,5228;-3,779;4,736
2,246;1,2761;2,4809;-3,7569;4,68
2,254;1,1758;2,4763;-3,8692;4,742
2,266;1,0755;2,4298;-3,8033;4,64
2,271;1,0924;2,3807;-3,8724;4,675
2,281;1,2848;2,288;-4,2138;4,964
2,288;1,0258;2,2509;-4,6495;5,267
2,298;0,9223;2,1938;-4,6671;5,239
2,305;1,0137;2,1375;-4,4841;5,07
2,317;0,8682;1,982;-4,3542;4,862
2,322;0,8771;1,9219;-4,3941;4,876
2,334;0,9046;1,9179;-4,588;5,054
2,338;0,8729;1,892;-4,6622;5,107
2,347;0,8996;1,6872;-4,6759;5,052
2,355;0,8477;1,6393;-4,6482;5,001
2,364;0,9131;1,5917;-4,5797;4,934
2,372;0,8605;1,5043;-4,6851;4,995
2,38;0,8652;1,4346;-4,7075;4,997
2,389;0,7694;1,3037;-4,9187;5,146
2,397;0,8093;1,2492;-5,0662;5,28
2,405;0,8477;1,1738;-4,9157;5,124
2,414;0,7483;1,0984;-4,6252;4,812
2,422;0,708;1,0047;-4,4713;4,637
2,43;0,707;0,9309;-4,5316;4,68
2,439;0,6858;0,8941;-4,5307;4,669
2,448;0,7419;0,776;-4,8393;4,957
2,456;0,7179;0,6569;-5,0048;5,099
2,464;0,8098;0,6171;-4,7928;4,9
2,472;0,8222;0,4802;-4,5381;4,637
2,481;0,7555;0,3235;-4,3587;4,435
2,492;0,7476;0,2445;-4,3345;4,405
2,498;0,7982;0,1641;-4,3472;4,423
2,509;0,9072;0,0826;-4,5139;4,605
2,514;0,9371;-0,0195;-4,6179;4,712
2,524;0,9074;-0,1009;-4,5025;4,594
2,531;0,9746;-0,2007;-4,2851;4,399
2,539;0,9235;-0,2817;-4,1615;4,272
2,548;0,9116;-0,3621;-4,1144;4,23
2,557;0,9194;-0,4045;-4,0646;4,187
2,565;0,986;-0,5064;-4,091;4,239
2,573;0,994;-0,5881;-3,9979;4,161
2,582;1,0996;-0,63;-3,8625;4,065
2,593;1,0546;-0,7595;-3,6399;3,865
2,599;1,0294;-0,8287;-3,5325;3,772
2,61;1,0434;-0,9353;-3,5779;3,843
2,615;1,1542;-1,0406;-3,3876;3,727
2,624;1,1092;-1,1631;-3,2551;3,63
2,632;1,1232;-1,2059;-3,1016;3,512
2,641;1,2341;-1,2673;-2,9084;3,404
2,649;1,2473;-1,3662;-3,3721;3,846
2,657;1,2217;-1,4233;-3,2447;3,748
2,666;1,3515;-1,4198;-3,2499;3,795
2,674;1,887;-1,4516;-2,9472;3,789
2,684;1,5265;-1,4796;-1,6827;2,711
2,691;1,3646;-1,5464;-1,0481;2,313
2,711;0,9929;-1,5342;-1,4252;2,318
2,714;0,9756;-1,5785;-1,3139;2,274
2,72;1,52;-1,6022;-1,9928;2,975
2,726;1,3616;-1,7204;-1,9066;2,907
2,734;1,3417;-1,8141;-1,5516;2,738
2,741;1,3997;-1,826;-1,1193;2,559
2,75;1,6118;-1,8541;-1,2293;2,747
2,758;1,3576;-1,8804;-1,2947;2,656
2,766;1,3401;-1,9041;-1,1632;2,603
2,775;1,4978;-1,8855;-0,8211;2,544
2,783;1,4416;-1,9609;-0,3104;2,454
2,791;1,3672;-1,9915;-0,1369;2,419
2,8;1,333;-1,9797;-0,2342;2,398
2,808;1,416;-1,9646;-0,5209;2,477
2,817;1,4019;-1,9657;-0,3927;2,446
2,825;1,4663;-1,9442;-0,3619;2,462
2,833;1,3761;-1,9588;0,0559;2,395
2,842;1,3651;-1,9499;0,5834;2,451
2,852;1,2774;-1,9952;0,7746;2,493
2,861;1,5191;-1,9625;0,7802;2,601
2,87;1,428;-1,8851;0,6316;2,448
2,875;1,4355;-1,8819;0,7546;2,484
2,885;1,0133;-1,9359;0,6388;2,277
2,893;1,4539;-1,906;1,1925;2,677
2,901;1,6393;-1,8702;1,2541;2,785
2,909;1,2621;-1,8885;1,144;2,543
2,918;1,4134;-1,8051;1,2133;2,594
2,926;1,4082;-1,7563;1,3201;2,61
2,934;1,4615;-1,6481;1,4409;2,632
2,943;1,7084;-1,6551;1,7341;2,944
2,951;1,082;-1,6012;2,1376;2,882
2,961;1,4116;-1,5427;2,0483;2,927
2,968;1,4668;-1,4607;2,272;3,074
2,977;1,426;-1,4547;2,0509;2,891
2,984;1,4241;-1,3884;2,1363;2,919
2,999;1,0935;-1,2987;2,2566;2,824
3,006;1,4453;-1,2081;2,5102;3,138
3,021;1,1347;-1,1165;2,6218;3,067
3,022;1,3507;-1,0811;2,4385;2,99
3,029;1,1199;-1,043;2,5295;2,956
3,035;1,125;-0,9637;2,5987;2,991
3,043;1,2075;-0,8628;2,6446;3,033
3,051;1,0188;-0,7623;2,9009;3,168
3,06;1,104;-0,7203;2,9777;3,256
3,068;0,9952;-0,5791;3,0133;3,226
3,077;0,9847;-0,4957;3,0264;3,221
3,085;0,956;-0,3909;3,1163;3,283
3,094;0,9669;-0,3047;3,1646;3,323
3,102;0,9393;-0,1394;3,1519;3,292
3,11;1,3189;0,0638;3,0992;3,369
3,119;1,0937;0,0491;3,1789;3,362
3,127;0,6977;0,0136;3,332;3,404
3,136;1,1002;0,1942;3,6926;3,858
3,144;1,1092;0,2783;3,7137;3,886
3,152;0,8851;0,4937;3,884;4,014
3,161;0,5477;0,3757;4,0099;4,065
3,171;0,5805;0,4558;4,0484;4,115
3,178;0,7662;0,5776;4,0799;4,191
3,187;0,7561;0,6598;3,7614;3,893
3,194;0,5909;0,7807;2,7082;2,88
3,204;0,6016;0,8649;2,7096;2,907
3,213;0,7106;1,0637;2,5589;2,861
3,22;0,819;1,1182;3,1469;3,439
3,228;0,4996;1,1286;3,7039;3,904
3,237;0,5323;1,1964;3,9606;4,171
3,245;0,5059;1,3437;3,8029;4,065
3,254;0,5177;1,4152;3,7777;4,067
3,261;0,4123;1,466;3,5159;3,832
3,274;0,462;1,4962;3,3496;3,698
3,279;0,5873;1,5635;3,3744;3,765
3,293;0,5171;1,6474;3,5901;3,984
3,295;0,4861;1,6906;3,4907;3,909
3,304;0,3573;1,7709;3,058;3,552
3,312;0,3659;1,8321;3,0163;3,548
3,32;0,4909;1,9103;2,8405;3,458
3,328;0,4974;1,9848;3,0705;3,69
3,337;0,4058;2,0563;3,1571;3,789
3,346;0,3726;2,0864;3,3936;4,001
3,354;0,4359;2,1729;3,4305;4,084
3,362;0,4394;2,2191;3,3656;4,055
3,371;0,3837;2,2647;3,0637;3,829
3,38;0,3668;2,3278;2,8976;3,735
3,387;0,4655;2,4081;2,7883;3,714
3,396;0,4456;2,4463;2,5016;3,527
3,404;0,3676;2,4626;2,4684;3,506
3,412;0,4844;2,4954;2,6304;3,658
3,421;0,4833;2,5264;2,5558;3,626
3,43;0,423;2,593;2,5355;3,651
3,438;0,4209;2,6565;2,4349;3,628
3,446;0,5533;2,6986;2,3302;3,608
3,454;0,5089;2,6601;2,1829;3,478
3,463;0,5999;2,7171;2,0143;3,435
3,471;0,5927;2,7315;1,9243;3,393
3,48;0,6629;2,8016;1,7562;3,372
3,488;0,7318;2,8104;1,6653;3,348
3,496;0,7026;2,8352;1,5734;3,318
3,505;0,7509;2,8376;1,5193;3,305
3,513;0,7983;2,876;1,4435;3,316
3,522;0,883;2,9101;1,3638;3,333
3,531;0,8695;2,902;1,2623;3,282
3,538;0,9528;2,8327;1,1019;3,185
3,549;0,919;2,8394;0,8831;3,112
3,555;1,0211;2,8235;0,7818;3,103
3,564;1,1605;2,843;0,6989;3,149
3,572;1,1819;2,8006;0,575;3,094
3,581;1,1645;2,7754;0,4688;3,046
3,589;1,2249;2,6889;0,3813;2,979
3,597;1,3815;2,6967;0,1561;3,034
3,606;1,3622;2,7198;-0,0684;3,043
3,614;1,3821;2,6609;-0,1752;3,004
3,623;1,4988;2,5797;-0,3392;3,003
3,631;1,4789;2,5139;-0,4635;2,953
3,639;1,4596;2,4646;-0,5666;2,92
3,648;1,5573;2,4122;-0,6489;2,944
